source	target	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references
P01106	O14746	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;KEGG-MEDICUS;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10022128;CollecTRI:10491298;CollecTRI:10606235;CollecTRI:10637317;CollecTRI:10723141;CollecTRI:10786671;CollecTRI:10914736;CollecTRI:11274400;CollecTRI:11279234;CollecTRI:11287602;CollecTRI:11435602;CollecTRI:11606399;CollecTRI:11916966;CollecTRI:12044867;CollecTRI:12646176;CollecTRI:12695333;CollecTRI:12802280;CollecTRI:12807729;CollecTRI:12821782;CollecTRI:12941894;CollecTRI:12970752;CollecTRI:14519204;CollecTRI:14563552;CollecTRI:14611815;CollecTRI:14612409;CollecTRI:14744757;CollecTRI:15226182;CollecTRI:15371341;CollecTRI:15595642;CollecTRI:15655249;CollecTRI:15665468;CollecTRI:15958520;CollecTRI:16205635;CollecTRI:16287840;CollecTRI:16402390;CollecTRI:16489011;CollecTRI:16785237;CollecTRI:16880523;CollecTRI:17070091;CollecTRI:17141225;CollecTRI:17706770;CollecTRI:17934056;CollecTRI:17942561;CollecTRI:17967894;CollecTRI:18093727;CollecTRI:18158869;CollecTRI:18226852;CollecTRI:18365874;CollecTRI:18367227;CollecTRI:18586674;CollecTRI:18754863;CollecTRI:18818322;CollecTRI:19003324;CollecTRI:19047367;CollecTRI:19148473;CollecTRI:19360348;CollecTRI:19649288;CollecTRI:19762557;CollecTRI:19787269;CollecTRI:19806010;CollecTRI:19912441;CollecTRI:20454512;CollecTRI:20723213;CollecTRI:21132266;CollecTRI:21553143;CollecTRI:21627565;CollecTRI:21807113;CollecTRI:21855630;CollecTRI:21995449;CollecTRI:22207128;CollecTRI:23759068;CollecTRI:23860446;CollecTRI:24705139;CollecTRI:9988278;HTRIdb:11274400;HTRIdb:12695333;TRRUST:10022128;TRRUST:10637317;TRRUST:12941894;TRRUST:14611815;TRRUST:15595642;TRRUST:15958520;TRRUST:17706770;TRRUST:18093727;TRRUST:18226852;TRRUST:18754863;TRRUST:19912441;TRRUST:21132266;TRRUST:21553143;TRRUST:22207128;TRRUST:24705139
P84022	P05412	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10022869;CollecTRI:12374795;DoRothEA:10022869;TRRUST:10022869
Q13485	P05412	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10022869;CollecTRI:12374795;DoRothEA:10022869;TRRUST:10022869
P08047	P04075	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;ORegAnno;ORegAnno_DoRothEA;PAZAR;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRD_DoRothEA	CollecTRI:10023068;CollecTRI:8524331;DoRothEA:8524331;ORegAnno:8524331;PAZAR:8524331
P04637	P08069	1	0	1	1	0	1	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10023442;CollecTRI:11001824;CollecTRI:12089352;CollecTRI:12444079;CollecTRI:15131018;CollecTRI:16181796;CollecTRI:17014845;CollecTRI:17097318;CollecTRI:17600529;CollecTRI:20633551;CollecTRI:22033326;CollecTRI:24205274;CollecTRI:8710868;TRRUST:11001824;TRRUST:12444079;TRRUST:17097318;TRRUST:17600529
Q05516	P20248	1	0	1	1	0	1	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;PAZAR;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10023668;CollecTRI:11920165;CollecTRI:14527952;CollecTRI:18504436;CollecTRI:20731660;DoRothEA:20731660;PAZAR:10023668;PAZAR:18504436;TRRUST:14527952;TRRUST:20731660
Q01196	P08700	1	0	1	1	0	1	CollecTRI;CytReg_CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;PAZAR;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10023677;CollecTRI:11997340;CollecTRI:15735013;CollecTRI:20506188;CollecTRI:8180380;CollecTRI:9036972;DoRothEA:15735013;PAZAR:11997340;TRRUST:15735013
P42224	P38936	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10023678;CollecTRI:10866323;CollecTRI:11162600;CollecTRI:12239594;CollecTRI:16449678;CollecTRI:20738848;CollecTRI:21307941;CollecTRI:22591439;TRRUST:10023678
P40763	P38936	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ExTRI_CollecTRI;IntAct_DoRothEA;JASPAR_DoRothEA;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10023678;CollecTRI:11114718;CollecTRI:11773079;CollecTRI:12438313;CollecTRI:15063116;CollecTRI:15286705;CollecTRI:16923815;CollecTRI:18320073;CollecTRI:19329556;CollecTRI:19372587;CollecTRI:20654581;CollecTRI:21184768;CollecTRI:22328012;CollecTRI:23178160;CollecTRI:9694869;TRRUST:10023678;TRRUST:15286705;TRRUST:16923815;TRRUST:18320073;TRRUST:20654581
Q04206	P08183	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10026303;CollecTRI:12527911;CollecTRI:18234965;CollecTRI:19763573;CollecTRI:21054339;CollecTRI:22927901;TRRUST:18234965;TRRUST:19763573
