=== Hyperparameter Tuning for Standard MLP ===
Goal: Maximize accuracy through systematic search

Loading data...
Dataset: 33171 train | 7108 val | 7109 test

Testing 242 configurations...

  # |  Emb |  Hid |  Out |     LR |   Temp |   BS | Epochs | Val Acc | Test Acc
----------------------------------------------------------------------------------------------------
  1 |   32 |   64 |   32 | 0.0001 | 0.0500 |  256 |     30 |  52.87% |   52.62%
  2 |   32 |   64 |   32 | 0.0001 | 0.1000 |  256 |     30 |  52.87% |   52.62%
  3 |   32 |   64 |   32 | 0.0001 | 0.2000 |  256 |     30 |  52.87% |   52.62%
  4 |   32 |   64 |   32 | 0.0001 | 0.5000 |  256 |     30 |  52.87% |   52.62%
  5 |   32 |   64 |   32 | 0.0005 | 0.0500 |  256 |     30 |  56.80% |   56.53%
  6 |   32 |   64 |   32 | 0.0005 | 0.1000 |  256 |     30 |  56.78% |   56.55%
  7 |   32 |   64 |   32 | 0.0005 | 0.2000 |  256 |     30 |  56.78% |   56.53%
  8 |   32 |   64 |   32 | 0.0005 | 0.5000 |  256 |     30 |  56.77% |   56.52%
  9 |   32 |   64 |   32 | 0.0010 | 0.0500 |  256 |     30 |  58.79% |   58.74%
 10 |   32 |   64 |   32 | 0.0010 | 0.1000 |  256 |     30 |  58.79% |   58.76%
 11 |   32 |   64 |   32 | 0.0010 | 0.2000 |  256 |     30 |  58.78% |   58.76%
 12 |   32 |   64 |   32 | 0.0010 | 0.5000 |  256 |     30 |  58.78% |   58.76%
 13 |   32 |   64 |   32 | 0.0050 | 0.0500 |  256 |     30 |  69.09% |   69.43%
 14 |   32 |   64 |   32 | 0.0050 | 0.1000 |  256 |     30 |  69.05% |   69.50%
 15 |   32 |   64 |   32 | 0.0050 | 0.2000 |  256 |     30 |  69.01% |   69.49%
 16 |   32 |   64 |   32 | 0.0050 | 0.5000 |  256 |     30 |  69.02% |   69.50%
 17 |   32 |  128 |   32 | 0.0001 | 0.0500 |  256 |     30 |  52.74% |   52.09%
 18 |   32 |  128 |   32 | 0.0001 | 0.1000 |  256 |     30 |  52.74% |   52.09%
 19 |   32 |  128 |   32 | 0.0001 | 0.2000 |  256 |     30 |  52.76% |   52.09%
 20 |   32 |  128 |   32 | 0.0001 | 0.5000 |  256 |     30 |  52.76% |   52.09%
 21 |   32 |  128 |   32 | 0.0005 | 0.0500 |  256 |     30 |  55.14% |   54.20%
 22 |   32 |  128 |   32 | 0.0005 | 0.1000 |  256 |     30 |  55.14% |   54.21%
 23 |   32 |  128 |   32 | 0.0005 | 0.2000 |  256 |     30 |  55.14% |   54.21%
 24 |   32 |  128 |   32 | 0.0005 | 0.5000 |  256 |     30 |  55.14% |   54.21%
 25 |   32 |  128 |   32 | 0.0010 | 0.0500 |  256 |     30 |  56.34% |   55.56%
 26 |   32 |  128 |   32 | 0.0010 | 0.1000 |  256 |     30 |  56.34% |   55.55%
 27 |   32 |  128 |   32 | 0.0010 | 0.2000 |  256 |     30 |  56.34% |   55.56%
 28 |   32 |  128 |   32 | 0.0010 | 0.5000 |  256 |     30 |  56.34% |   55.56%
 29 |   32 |  128 |   32 | 0.0050 | 0.0500 |  256 |     30 |  64.24% |   63.67%
 30 |   32 |  128 |   32 | 0.0050 | 0.1000 |  256 |     30 |  64.21% |   63.65%
